domain,bd_index,chinese,reverse_index,url,illegal,pan_analysis,sgsr
mcsepass.com,0,no_language,0,,正常,正常,3
mbchemic.com,2,english,2,,正常,正常,3
medruler.com,0,no_language,0,,正常,正常,3
lwbaba.com,8,chinese,8,,正常,正常,4
meidish.com,0,no_language,0,,正常,正常,3
mdi-dl.com,1,english,1,,正常,正常,3
miaosha888.com,0,no_language,0,,正常,正常,3
mimidizhi.com,1,english,1,,正常,正常,3
moutaic.com,0,no_language,0,,正常,正常,3
mimoclub.com,1,chinese,1,,正常,正常,3
mtjcn.com,0,no_language,0,,正常,正常,4
metro8.net,14,chinese,10,,包含违禁词,正常,4
mlrsrc.com,2,chinese,2,,正常,正常,3
nb-manya.com,0,no_language,0,,正常,正常,3
myjscl.net,2,chinese,2,,正常,正常,4
mylegou.net,0,no_language,0,,正常,正常,4
nbprt.com,0,no_language,0,,正常,正常,3
mybeicai.com,2,chinese,2,,正常,正常,3
nberyou.com,1,chinese,1,,包含违禁词,正常,4
ncfcw.net,5,chinese,5,,包含违禁词,正常,3
nfalevel.com,0,no_language,0,,正常,正常,3
myjt.org,9,chinese,9,,正常,泛解析,3
new9e.com,1,chinese,1,,正常,正常,4
niqiuyz.com,0,no_language,0,,正常,正常,3
njguanxu.com,1,chinese,1,,正常,正常,3
nr-siwang.com,0,no_language,0,,正常,正常,3
ntomeda.com,0,no_language,0,,正常,正常,3
nsakura222.com,0,no_language,0,,正常,正常,3
oqcar.com,0,no_language,0,,正常,正常,4
ni98.net,72,chinese,10,,正常,正常,4
obrcb.com,1,chinese,1,,正常,正常,3
pingfujj.com,1,english,1,,正常,正常,3
pcgta.net,2,chinese,2,,正常,正常,3
pvcjia.com,0,no_language,0,,正常,正常,3
pinpailp.com,9,chinese,9,,包含违禁词,正常,3
pudelsclub.com,1,english,1,,正常,正常,3
ptfilm.net,1,chinese,1,,正常,正常,3
pvlead.com,1,english,1,,正常,正常,3
qdchunyuan.com,1,english,1,,正常,正常,3
pkush.org,35,chinese,10,,正常,正常,3
qdonepin.com,0,no_language,0,,正常,正常,3
qicheyitao.com,0,no_language,0,,正常,正常,3
qinbama.com,0,no_language,0,,正常,正常,3
qq897.com,0,no_language,0,,正常,正常,3
quan114.com,0,no_language,0,,正常,正常,3
qyyy365.com,0,no_language,0,,正常,正常,3
qdzp5.com,4,chinese,4,,包含违禁词,正常,4
